Date;Time;Weekday;P_pump;p_TDLAS;p_in;I_total;U_supply;external_pump;Runtime;Conc_estimate;pCH4;xCH4;T_control;T_gas;%rH_gas;
2021-05-21;08:00:05;5;0.453;1017.6;1009.93;429.875;19.132905;1;340419505;2.854;2.689;2.698;43.997;40.673;36.741;
2021-05-21;08:01:05;5;0.453;1017.58;1009.92;416.337;19.124758;1;340419565;2.852;2.687;2.696;43.999;40.675;36.752;
2021-05-21;08:02:05;5;0.453;1017.45;1009.91;424.95;19.124758;1;340419625;2.901;2.734;2.743;44.0;40.669;36.751;
2021-05-21;08:03:05;5;0.453;1017.64;1009.87;421.137;19.128979;1;340419685;3.025;2.851;2.86;44.0;40.672;36.734;
2021-05-21;08:04:05;5;0.453;1017.68;1009.84;426.55;19.124169;1;340419745;3.037;2.862;2.871;44.003;40.679;36.738;
2021-05-21;08:05:05;5;0.453;1017.47;1009.87;394.837;19.12515;1;340419805;2.803;2.641;2.65;44.004;40.677;36.741;
2021-05-21;08:06:05;5;0.453;1017.38;1009.85;423.925;19.121028;1;340419865;2.822;2.659;2.668;43.998;40.677;36.734;
2021-05-21;08:07:05;5;0.453;1017.42;1009.87;407.0;19.122795;1;340419925;2.956;2.785;2.795;43.999;40.674;36.738;
2021-05-21;08:08:05;5;0.453;1017.49;1009.86;416.962;19.128684;1;340419985;2.869;2.703;2.712;43.999;40.675;36.741;
2021-05-21;08:09:05;5;0.453;1017.42;1009.8;422.2;19.139286;1;340420045;2.951;2.78;2.79;44.0;40.672;36.734;
2021-05-21;08:10:05;5;0.453;1017.32;1009.79;411.187;19.124267;1;340420105;2.969;2.797;2.807;44.001;40.672;36.751;
2021-05-21;08:11:05;5;0.453;1017.62;1009.79;429.825;19.1225;1;340420165;2.905;2.737;2.747;44.003;40.676;36.752;
2021-05-21;08:12:05;5;0.453;1017.38;1009.74;421.762;19.124071;1;340420225;2.975;2.803;2.813;43.998;40.676;36.734;
2021-05-21;08:13:05;5;0.453;1017.29;1009.75;418.237;19.127015;1;340420285;2.937;2.766;2.776;44.0;40.673;36.744;
2021-05-21;08:14:05;5;0.453;1017.44;1009.73;424.412;19.124562;1;340420345;2.966;2.795;2.805;44.001;40.674;36.727;
2021-05-21;08:15:05;5;0.453;1017.35;1009.72;412.1;19.130746;1;340420405;2.983;2.81;2.82;44.001;40.669;36.73;
2021-05-21;08:16:05;5;0.453;1017.41;1009.7;430.837;19.12996;1;340420465;2.929;2.759;2.769;43.999;40.674;36.745;
2021-05-21;08:17:05;5;0.453;1017.48;1009.69;423.512;19.130255;1;340420525;3.016;2.841;2.852;43.997;40.671;36.737;
2021-05-21;08:18:05;5;0.453;1017.35;1009.63;430.187;19.136341;1;340420585;3.039;2.863;2.873;44.001;40.669;36.751;
2021-05-21;08:19:05;5;0.453;1017.56;1009.63;402.737;19.123776;1;340420645;3.093;2.914;2.924;43.998;40.676;36.717;
2021-05-21;08:20:05;5;0.453;1017.51;1009.64;426.125;19.133985;1;340420705;2.879;2.712;2.722;43.999;40.675;36.731;
2021-05-21;08:21:05;5;0.453;1017.43;1009.63;416.037;19.126918;1;340420765;2.815;2.652;2.661;44.003;40.671;36.727;
2021-05-21;08:22:05;5;0.453;1017.42;1009.61;417.1;19.124758;1;340420825;2.886;2.719;2.729;44.0;40.674;36.72;
2021-05-21;08:23:05;5;0.453;1017.39;1009.59;433.437;19.12515;1;340420885;3.048;2.871;2.882;43.995;40.68;36.718;
2021-05-21;08:24:05;5;0.453;1017.15;1009.55;414.312;19.125053;1;340420945;2.845;2.68;2.69;44.005;40.682;36.738;
2021-05-21;08:25:05;5;0.453;1017.21;1009.53;420.475;19.129077;1;340421005;3.084;2.905;2.915;44.001;40.676;36.72;
2021-05-21;08:26:05;5;0.453;1017.42;1009.52;415.375;19.131433;1;340421065;2.896;2.728;2.738;44.0;40.675;36.731;
2021-05-21;08:27:05;5;0.453;1017.34;1009.49;419.575;19.123384;1;340421125;2.944;2.773;2.784;44.004;40.678;36.731;
2021-05-21;08:28:05;5;0.453;1017.15;1009.47;419.75;19.127212;1;340421185;3.049;2.872;2.883;43.999;40.684;36.732;
2021-05-21;08:29:05;5;0.453;1017.11;1009.46;418.325;19.123875;1;340421245;2.867;2.701;2.711;44.003;40.68;36.742;
2021-05-21;08:30:05;5;0.453;1017.05;1009.46;408.262;19.126034;1;340421305;3.001;2.827;2.837;43.999;40.685;36.742;
2021-05-21;08:31:05;5;0.453;1017.13;1009.44;420.35;19.127703;1;340421365;2.865;2.698;2.709;44.0;40.679;36.731;
2021-05-21;08:32:05;5;0.453;1017.35;1009.41;426.287;19.124856;1;340421425;2.764;2.603;2.613;43.998;40.678;36.717;
2021-05-21;08:33:05;5;0.453;1017.15;1009.42;424.05;19.122402;1;340421485;2.873;2.706;2.716;43.997;40.678;36.71;
