Datenumtime,Plottedtime,DRB_sensor[ppm],EB_sensor[ppm],Temperature[C],Longitude[decimalDeg],Latitude[decimalDeg]
736259.45048735,0,25.687980486,16.07,4.338,9.462147,78.56404
736259.4505105,2.31500016525388e-05,25.702616055,16.05,4.338,9.462178,78.56403
736259.45053365,4.63000033050776e-05,25.763708569,16.2,4.337,9.462213,78.564013
736259.45055679,6.94399932399392e-05,25.579305839,16.15,4.338,9.462235,78.564005
736259.45057994,9.2589994892478e-05,25.338689926,16.03,4.336,9.462265,78.563995
736259.45060308,0.00011572998482734,24.920572147,16,4.333,9.462293,78.56398
736259.45062623,0.000138879986479878,24.575746789,16.05,4.338,9.4623,78.56397
736259.45064937,0.00016201997641474,24.082715052,16.17,4.347,9.462325,78.56396
736259.45067252,0.000185169978067279,23.618462118,16.05,4.35,9.462363,78.563947
736259.45069567,0.000208319979719818,23.241368063,16.23,4.35,9.46238,78.563935
736259.45071881,0.000231459969654679,23.014882714,16.3,4.35,9.462408,78.563925
736259.45074196,0.000254609971307218,22.959782241,16.35,4.35,9.46243,78.563913
736259.4507651,0.00027774996124208,22.795712921,16.3,4.35,9.462443,78.5639
736259.45078825,0.000300899962894619,22.716483489,16.3,4.351,9.462455,78.56389
736259.4508114,0.000324049964547157,22.986326116,16.65,4.352,9.462475,78.56388
736259.45083454,0.000347189954482019,23.265358298,16.67,4.352,9.462495,78.56387
736259.45085769,0.000370339956134558,23.373904898,16.6,4.353,9.462507,78.56386
736259.45088083,0.000393479946069419,23.676993827,16.4,4.354,9.462513,78.563843
736259.45090398,0.000416629947721958,23.966088089,16.35,4.353,9.462527,78.563827
736259.45092712,0.000439770054072142,24.337875182,16.5,4.349,9.462535,78.56382
736259.45095027,0.00046292005572468,24.696390344,16.4,4.345,9.462533,78.56381
736259.45097342,0.000486070057377219,24.862736922,16.55,4.344,9.462533,78.56379
736259.45099656,0.000509210047312081,25.162753284,16.5,4.344,9.46254,78.56378
736259.45101971,0.00053236004896462,25.545892565,16.55,4.345,9.462547,78.563773
736259.45104285,0.000555500038899481,25.776475028,16.57,4.345,9.462558,78.56376
736259.451066,0.00057865004055202,26.067640365,16.8,4.342,9.46256,78.563745
736259.45108915,0.000601800042204559,26.37565459,16.7,4.338,9.462575,78.563735
736259.45111229,0.000624940032139421,26.308879829,16.6,4.336,9.462597,78.56372
736259.45113544,0.000648090033791959,26.206615317,16.77,4.339,9.462605,78.56371
736259.45115858,0.000671230023726821,25.872024189,16.68,4.344,9.462613,78.5637
736259.45118173,0.00069438002537936,25.493972414,16.65,4.344,9.462633,78.563683
736259.45120487,0.000717520015314221,25.034111833,16.67,4.343,9.46265,78.563673
736259.45122802,0.00074067001696676,24.588212364,16.7,4.339,9.46265,78.563665
736259.45125117,0.000763820018619299,24.242610532,16.53,4.336,9.462663,78.56365
736259.45127431,0.000786960008554161,23.763068467,16.6,4.335,9.462687,78.563633
736259.45129746,0.000810110010206699,23.375496062,16.75,4.335,9.462685,78.563625
736259.4513206,0.000833250000141561,22.997162712,16.53,4.337,9.462683,78.56361
736259.45134375,0.0008564000017941,22.866151733,16.88,4.337,9.4627,78.563597
736259.4513669,0.000879550003446639,22.821921084,16.88,4.339,9.462715,78.56359
736259.45139004,0.0009026899933815,22.932286743,16.77,4.349,9.462735,78.563578
736259.45141319,0.000925839995034039,22.925223849,17,4.352,9.46276,78.56356
736259.45143633,0.000948979984968901,22.942702729,16.88,4.35,9.462775,78.56355
736259.45145948,0.000972129986621439,22.887906894,16.8,4.346,9.462795,78.56354
736259.45148262,0.000995269976556301,22.683768725,16.8,4.344,9.46282,78.563527
736259.45150577,0.00101841997820884,22.402913329,17.07,4.349,9.462835,78.563515
736259.45152892,0.00104156997986138,21.936640194,17.05,4.355,9.462855,78.563505
736259.45155206,0.00106470996979624,21.55421623,17.05,4.355,9.46288,78.56349
736259.45157521,0.00108785997144878,21.132168861,16.93,4.352,9.462895,78.56348
736259.45159835,0.00111099996138364,20.760252163,16.85,4.35,9.462917,78.563473
736259.4516215,0.00113414996303618,20.447897503,16.9,4.352,9.462935,78.56346
736259.45164465,0.00115729996468872,20.207570949,16.75,4.352,9.46295,78.563447
736259.45166779,0.00118043995462358,20.026836146,16.87,4.35,9.462965,78.563435
736259.45169094,0.00120358995627612,19.854167338,16.9,4.352,9.462983,78.563423
736259.45171408,0.00122672994621098,19.816694479,17.05,4.352,9.463003,78.56341
736259.45173723,0.00124987994786352,19.855938847,17.05,4.356,9.463025,78.5634
736259.45176037,0.0012730200542137,20.094492959,17.07,4.363,9.463045,78.56339
736259.45178352,0.00129617005586624,20.327205808,16.95,4.364,9.463073,78.563373
736259.45180667,0.00131932005751878,20.597825211,17.03,4.363,9.463095,78.563365
736259.45182981,0.00134246004745364,20.732906921,17.03,4.363,9.463115,78.563355
736259.45185296,0.00136561004910618,20.607549059,16.97,4.362,9.463143,78.56334
736259.4518761,0.00138875003904104,20.482191197,16.95,4.358,9.463165,78.56333
736259.45189925,0.00141190004069358,20.32003217,16.95,4.355,9.463178,78.56332
736259.4519224,0.00143505004234612,20.032669542,17.1,4.355,9.463187,78.563307
736259.45194554,0.00145819003228098,19.666007232,16.9,4.357,9.463205,78.563295
736259.45196869,0.00148134003393352,19.269452104,16.9,4.358,9.46323,78.563285
736259.45199183,0.00150448002386838,18.813989943,16.97,4.356,9.46324,78.563273
736259.45201498,0.00152763002552092,18.46247444,17.15,4.358,9.463245,78.563265
736259.45203812,0.00155077001545578,18.095492313,17.15,4.359,9.463267,78.56325
736259.45206127,0.00157392001710832,17.848062811,17.03,4.359,9.46328,78.563238
736259.45208442,0.00159707001876086,17.921295213,17.2,4.36,9.463285,78.563225
736259.45210756,0.00162021000869572,18.109916148,17.4,4.36,9.463307,78.563217
736259.45213071,0.00164336001034826,18.469059326,17.18,4.362,9.463325,78.5632
736259.45215385,0.00166650000028312,18.891962053,17.07,4.363,9.46334,78.563187
736259.452177,0.00168965000193566,19.467753395,17.08,4.364,9.46335,78.56318
736259.45220015,0.0017128000035882,19.912559228,16.93,4.365,9.46336,78.563173
736259.45222329,0.00173593999352306,20.28400061,17.1,4.364,9.463385,78.563158
736259.45224644,0.0017590899951756,20.378882193,17.1,4.364,9.463405,78.56315
736259.45226958,0.00178222998511046,20.505517335,17.33,4.365,9.463425,78.563138
736259.45229273,0.001805379986763,20.575808861,17.3,4.365,9.46345,78.563123
736259.45231587,0.00182851997669786,20.616989471,17.13,4.365,9.463465,78.563115
736259.45233902,0.0018516699783504,20.50038979,17.05,4.365,9.463495,78.563105
736259.45236217,0.00187481998000294,20.211773612,17.17,4.365,9.463537,78.563093
736259.45238531,0.0018979599699378,19.921181451,17.13,4.365,9.46356,78.563085
736259.45240846,0.00192110997159034,19.512756804,17.3,4.365,9.463598,78.56307
736259.4524316,0.0019442499615252,19.178662592,17.17,4.365,9.46365,78.563057
736259.45245475,0.00196739996317774,18.892899697,17.18,4.365,9.46369,78.56305
736259.4524779,0.00199054996483028,18.80778678,17.1,4.365,9.46372,78.563043
736259.45250104,0.00201368995476514,18.705771447,17.4,4.365,9.463765,78.56303
736259.45252419,0.00203683995641768,18.70579681,17.17,4.364,9.46381,78.56302
736259.45254733,0.00205997994635254,18.610186196,17.17,4.364,9.46384,78.563013
736259.45257048,0.00208312994800508,18.493241365,17.38,4.365,9.463875,78.563
736259.45259362,0.00210627005435526,18.466468975,17.3,4.365,9.463907,78.562983
736259.45261677,0.0021294200560078,18.469831534,17.35,4.365,9.463925,78.562975
736259.45263992,0.00215257005766034,18.45936005,17.35,4.366,9.463955,78.56296
736259.45266306,0.0021757100475952,18.497646133,17.4,4.366,9.46399,78.562943
736259.45268621,0.00219886004924774,18.658114116,17.4,4.364,9.464005,78.562935
736259.45270935,0.0022220000391826,18.782063334,17.27,4.365,9.464028,78.562925
736259.4527325,0.00224515004083514,18.677154812,17.35,4.365,9.464067,78.56291
736259.45275565,0.00226830004248768,18.376872376,17.2,4.364,9.464085,78.562895
736259.45277879,0.00229144003242254,17.932482689,17.17,4.363,9.464108,78.562883
736259.45280194,0.00231459003407508,17.400621886,17.18,4.363,9.464137,78.562867
736259.45282508,0.00233773002400994,16.814500664,17.27,4.363,9.46414,78.56286
736259.45284823,0.00236088002566248,16.136130868,17.33,4.363,9.464143,78.56285
